user_id,product_id,product_name,rating,votes,helpful_votes,ID
310,109572,Bias: A CBS Insider Exposes How the Media Distort the News,4,15,11,200239
15,58105,"The Return of the King (The Lord of the Rings, Part 3)",5,2,2,147835
628,205871,What Women Want,5,26,14,149510
336,34552,"The Path to Power (The Years of Lyndon Johnson, Volume 1)",5,1,1,97018
1213,39901,Tara Road,5,12,10,3780
231,198727,Hybrid Theory,3,7,6,237082
1252,81800,Harry Potter and the Goblet of Fire (Book 4),3,9,5,567645
1916,58478,Beowulf and the Fight at Finnsburgh,5,6,5,489767
1947,214537,Murder by Numbers,2,5,2,171124
1523,15779,Audio on the Web: The Official IUMA Guide,4,0,0,47104
1482,81771,Harry Potter and the Chamber of Secrets (Thorndike Press Large Print Young Adult Series),4,1,0,230366
1169,52191,The Count of Monte Cristo (Bantam Classics),5,1,1,154644
989,26952,Messages from My Father,5,1,1,207264
1154,35366,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",5,2,1,513895
1228,150374,Sun Valley Serenade,4,8,5,456411
1257,139300,The Message: The New Testament in Contemporary Language,5,4,2,475893
1641,204195,Austin Powers in Goldmember (Infinifilm Widescreen Edition),5,5,4,117553
687,32940,Carnage and Culture : Landmark Battles in the Rise to Western Power,5,11,9,517821
1502,187564,Clerks (Collector's Edition),1,36,1,690978
494,202742,Idiology,5,0,0,141727
371,148937,Silver Bullet,1,10,2,187756
1916,171998,"Delibes - Lakmé / Mesplé, Burles, Soyer, Millet, Opéra-Comique, Lombard [highlights]",5,34,33,177695
454,145677,Get Togethers : Rachel Ray 30-Minute Meals,5,14,12,75610
131,81161,Day Of Deception,2,5,2,410592
1502,217376,Mount Eerie,5,0,0,578018
1275,82757,Social Crimes : A Novel,4,6,5,541037
819,215513,Mysterious Island,5,3,1,219771
1183,25794,Demolition Angel,4,0,0,229131
1916,44301,Paradise Lost and Paradise Regained (Signet Classics (Paperback)),5,13,7,32287
1954,164214,Octave,3,12,11,114021
1916,71932,A Delicate Balance: Living Successfully with Chronic Illness,5,9,7,684063
1916,212245,Rapid Fire,4,0,0,478672
260,10470,"Moby-Dick Or, the Whale (Penguin Classics)",1,19,6,489931
1133,148653,Duel,4,2,2,336884
1947,204184,Dragonfly (Widescreen),1,1,0,56540
602,204084,Spy Game (Widescreen Edition),4,2,2,279875
970,193687,Feelin' Alright: The Very Best of Traffic,5,1,1,461181
1813,200456,K.D. Lang - Invincible Summer (DVD Audio),4,6,3,721690
1916,55346,In My Father's House (Point),5,0,0,667277
702,27674,Snow Falling on Cedars,4,2,2,263519
1916,114428,Taiji Chin Na : The Seizing Art of Taijiquan (Chinese Internal Martial Arts),5,11,8,643991
874,40645,The Tower and the Hive (Rowan (Paperback)),3,11,9,185871
386,94821,Younger Than Springtime (O'Malley Novels (Forge Paperback)),5,8,7,104010
1057,157081,Simply Irresistible,1,0,0,283455
1255,62547,Julian the Apostate,5,5,3,537285
1916,132530,Coming Apart: Why Relationships End and How to Live Through the Ending of Yours,5,10,10,459540
1916,35154,Complete Tales of Uncle Remus,5,13,6,492921
294,43177,The Dead Zone,5,2,1,378498
1091,213979,Now That's What I Call Music! 10,4,1,1,229073
1902,80243,Half Baked,3,2,0,585592
951,107633,"Magic's Pawn (The Last Herald-Mage Series, Book 1)",4,1,1,116098
1321,35391,The Hobbit,5,1,1,147100
40,131918,Breaker Morant,5,5,4,458301
1976,83759,Founding Brothers,4,11,11,338290
1916,159075,Angels Aliens & Archetypes,5,1,1,646483
1175,218798,WWE - Raw Tenth Anniversary,3,1,0,543565
70,143078,Personalized Instruction: Changing Classroom Practice,5,0,0,436500
1916,59293,"Fire Ship (Star Trek Voyager: The Captains Table, Book 4)",2,0,0,687519
1417,213721,A Better Place,5,3,2,532059
648,82054,Every Man for Himself,2,4,1,53234
836,208004,Echoes: The Best of Pink Floyd,5,2,1,330333
587,217600,The Rules of Attraction,2,12,3,212046
898,197087,Doctor Who - The Masque of Mandragora,4,1,1,268921
1011,188741,Psychedelic Lollipop / Electric Comic Book,4,2,2,644930
1378,35179,The Biggest Bear,4,8,6,501987
1196,86727,Close Encounters of the Third Kind,5,3,1,264004
1609,166035,Simon & Garfunkel - Greatest Hits,5,2,1,531825
1502,35523,Five Little Monkeys Sitting in a Tree,5,0,0,129698
737,67136,The Hero and the Crown,4,2,2,657319
1916,133230,Take Away Applique,5,13,13,629020
332,130176,The Blood of Carthage (Buffy the Vampire Slayer),5,17,15,24720
1228,210219,The Musketeer,1,1,1,692366
1916,116014,"Defensive Living: When Defensive Driving, Diets, and Exercise Aren't Enough to Keep You Alive and Well!",5,0,0,387778
561,204201,Y Tu Mama Tambien (And Your Mother Too) - Unrated Edition,4,21,16,201765
1398,85273,Seven Brides for Seven Brothers,5,2,2,527083
1916,173664,The Best of Ronnie Hawkins & the Hawks,5,9,8,680313
12,169189,Face Value,5,1,1,158394
675,138449,Stone Kiss,4,2,2,69926
1331,25044,The Cider House Rules,4,4,4,558366
1134,152343,Breakfast at Tiffany's - Collector's Edition,3,20,6,559702
910,194412,Dr. No (Special Edition),5,1,1,145837
1190,10047,The Haunting,3,24,12,556086
1144,18423,"Le Morte D'Arthur: Complete Unabridged, New Illustrated Edition",5,17,17,217249
1916,203443,The Adventures of Rocky and Bullwinkle,5,0,0,577592
310,148364,The Adventures of Huckleberry Finn (Konemann Classics),5,7,6,667458
894,33356,The Thirteen Gun Salute,5,3,3,594403
1560,201664,Harvey,5,4,3,298351
332,213410,Neon Genesis Evangelion - Death & Rebirth (Dubbed in English),4,15,14,339089
590,85524,Braveheart,5,1,0,167494
375,70840,The Language of Mathematics: Making the Invisible Visible,5,7,6,599434
